1,2631,22,0.000768,9.777980,12
2,3276,23,0.001136,10.598320,15
3,145,17,0.000049,9.987800,13
4,2720,25,0.000683,11.781370,17
5,165,16,0.000049,7.137810,10
6,1734,22,0.000346,9.245460,12
7,1741,22,0.000448,10.437290,14
8,439,21,0.000127,10.750000,11
9,464,17,0.000135,7.579950,7
10,611,21,0.000178,11.501490,13
11,724,23,0.000175,11.724140,15
12,1659,23,0.000370,10.909420,11
13,372,19,0.000099,9.075080,13
14,1420,22,0.000357,9.659370,14
15,465,19,0.000136,8.212310,13
16,2130,22,0.000473,9.635010,10
17,794,20,0.000232,9.229230,10
18,71,21,0.000023,12.972970,19
19,456,22,0.000104,11.548650,18
20,368,22,0.000091,10.911180,16
21,27,16,0.000014,9.636360,14
22,76,16,0.000026,8.563490,10
23,2805,25,0.000690,11.128690,15
24,805,22,0.000215,10.211960,14
25,1666,23,0.000438,10.285560,13
26,2470,25,0.000768,10.345440,15
27,1294,21,0.000317,9.684140,15
28,100,13,0.000030,6.928180,7
29,1609,23,0.000505,11.262020,13
30,225,24,0.000070,14.002780,16
31,1820,24,0.000379,11.523000,14
32,129,16,0.000038,9.481650,12
33,37,18,0.000013,10.245900,16
34,1500,23,0.000391,10.929970,13
35,4075,26,0.000897,11.365990,14
36,5873,27,0.001393,12.113550,17
37,487,22,0.000122,11.715170,14
38,5296,26,0.001111,11.096190,14
39,2349,22,0.000484,9.770910,12
40,5296,25,0.001591,10.857710,13
41,125,14,0.000033,7.921660,8
42,3436,25,0.000700,11.446200,19
43,1193,21,0.000313,9.671310,11
44,9239,26,0.002097,10.244680,16
45,2256,24,0.000369,10.434660,14
46,626,24,0.000149,13.157210,20
47,92,18,0.000031,10.118420,14
48,1145,23,0.000234,11.042930,15
49,1201,21,0.000298,10.725060,11
50,5557,28,0.001265,12.401420,16
51,730,20,0.000176,9.972020,12
52,9355,27,0.002252,10.635500,15
53,661,19,0.000192,8.786610,11
54,2195,26,0.000449,12.091820,16
55,257,18,0.000067,9.306260,12
56,2440,24,0.000682,10.669040,16
57,339,18,0.000127,8.484480,8
58,2316,24,0.000492,10.876100,12
59,272,23,0.000073,13.210160,17
60,3401,24,0.000777,10.829940,16
61,9544,27,0.002330,11.501880,19
62,8845,25,0.002260,9.669590,13
63,360,21,0.000093,10.371860,15
64,103,22,0.000030,13.398770,18
65,11359,28,0.003091,11.551140,14
66,406,20,0.000107,9.686850,16
67,8302,27,0.001857,11.225800,17
68,6762,27,0.001695,11.858740,15
69,2421,25,0.000520,11.361040,19
70,3944,24,0.000961,9.623690,10
71,899,24,0.000228,11.516890,16
72,868,22,0.000244,10.504490,16
73,14476,27,0.003382,10.902900,15
74,3141,26,0.000769,11.723930,18
75,8979,25,0.002157,9.914990,11
76,1631,26,0.000479,11.602260,20
77,413,20,0.000151,9.506590,14
78,8936,26,0.002186,10.443040,16
79,166,16,0.000049,8.810340,10
80,7986,27,0.002249,11.354100,17
81,490,19,0.000152,8.291410,11
82,324,25,0.000086,14.170630,21
83,56,15,0.000018,8.010870,11
84,83,17,0.000030,9.753620,13
85,186,15,0.000059,7.257860,7
86,2713,25,0.000594,11.475500,17
87,206,17,0.000058,9.260620,11
88,5691,27,0.001303,11.795930,17
89,1408,20,0.000317,8.118490,8
90,573,20,0.000157,9.433020,12
91,2764,27,0.000696,11.330110,21
92,2791,26,0.000669,10.976110,18
93,2006,22,0.000476,9.715940,12
94,1238,22,0.000351,10.963160,14
95,1016,22,0.000238,10.976390,12
96,244,19,0.000088,9.935800,17
97,722,20,0.000176,9.396410,8
98,2213,21,0.000523,8.091270,9
99,2265,24,0.000586,11.277570,14
100,3613,25,0.000714,10.676060,13
